"","name","start_year","age","years","value","aav","sign_bonus","gtd","prac_gtd","length","position.y","games","recent_team","completions","attempts","passing_yards","passing_tds","interceptions","sacks","sack_yards","sack_fumbles","sack_fumbles_lost","passing_air_yards","passing_yards_after_catch","passing_first_downs","passing_epa","passing_2pt_conversions","pacr","dakota","carries","rushing_yards","rushing_tds","rushing_fumbles","rushing_fumbles_lost","rushing_first_downs","rushing_epa","rushing_2pt_conversions","receptions","targets","receiving_yards","receiving_tds","receiving_fumbles","receiving_fumbles_lost","receiving_air_yards","receiving_yards_after_catch","receiving_first_downs","receiving_epa","receiving_2pt_conversions","racr","target_share","air_yards_share","wopr","special_teams_tds","fantasy_points","fantasy_points_ppr"
"38","Cordarrelle Patterson","2022",31,2,10500000,5250000,5e+06,5e+06,5e+06,"2022-2023 (FA: 2024)","RB",16,"ATL",0,1,0,0,0,0,0,0,0,18,0,0,-0.599639943917282,0,0,NA,153,618,6,1,0,29,-15.4856635596079,0,52,69,548,5,0,0,214,385,26,19.0910259758063,0,2.5607476635514,0.12784438064176,0.0464788896093706,0.224301793689199,0,182.6,234.6
"39","Dare Ogunbowale","2022",27,2,3e+06,1500000,3e+05,550000,550000,"2022-2023 (FA: 2024)","RB",10,"JAX",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,43,137,1,0,0,5,-9.35221186885306,0,13,21,114,1,0,0,31,100,3,-1.17545017547673,0,3.67741935483871,0.0695896120354115,0.0132530089646928,0.113661524328402,0,37.1,50.1
"40","David Johnson","2022",30,1,1120000,1120000,NA,NA,NA,"2022-2022 (FA: 2023)","RB",13,"HOU",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,67,228,0,1,1,7,-21.6784528842545,0,32,42,225,1,0,0,87,191,11,-8.56870917309845,0,2.58620689655172,0.12168558319505,0.0242521812110735,0.199504901640327,0,49.3,81.3
"41","Dontrell Hilliard","2022",27,1,1187500,1187500,152500,152500,152500,"2022-2022 (FA: 2023)","RB",8,"TEN",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,56,350,2,1,1,15,9.06053411783068,0,22,29,100,0,1,0,-14,112,8,-7.11655320276803,0,-7.14285714285714,0.116883315826331,-0.0127396083908601,0.166407247865894,0,55,77
"42","James Conner","2022",26,3,2.1e+07,7e+06,6e+06,13500000,13500000,"2022-2024 (FA: 2025)","RB",16,"ARI",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,206,771,16,2,0,56,-1.1025659130893,0,38,41,380,3,0,0,13,388,18,21.0729365223087,0,29.2307692307692,0.1006459474313,0.000458305860629768,0.15128973524939,0,229.1,267.1
"43","Malcolm Brown","2022",28,1,1035000,1035000,NA,NA,NA,"2022-2022 (FA: 2023)","RB",6,"MIA",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,33,125,1,0,0,6,-8.53826775227208,0,3,5,10,0,0,0,-2,8,0,-2.2526608449989,0,-5,0.030540780141844,-0.00191344643654629,0.0444717577071836,0,19.5,22.5
"44","Rex Burkhead","2022",31,1,2350000,2350000,5e+05,NA,2100000,"2022-2022 (FA: 2023)","RB",14,"HOU",0,1,0,0,0,0,0,0,0,7,0,0,-0.493120650062338,0,0,NA,122,427,3,1,0,30,-5.23546433079173,0,25,32,186,0,0,0,50,141,9,3.53926218789349,0,3.72,0.0920123395123395,0.0172604273155415,0.150100808389388,0,79.3,104.3
"45","Trenton Cannon","2022",27,1,1187500,1187500,125000,125000,125000,"2022-2022 (FA: 2023)","RB",2,"SF",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,3,4,0,0,0,0,-2.53298093075864,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,0.4,0.4
"46","Alvin Kamara","2020",25,5,7.5e+07,1.5e+07,1.5e+07,22833000,33833000,"2020-2025 (FA: 2026)","RB",15,"NO",1,1,13,0,0,0,0,0,0,11,2,1,0.964814729755744,0,1.18181818181818,NA,178,818,6,3,1,33,-20.6355361263757,0,89,106,567,1,1,0,25,593,28,-3.94469003238971,0,22.68,0.207546030186991,0.00197067188988182,0.312698515603403,0,179.02,268.02
"47","Austin Ekeler","2020",24,4,24500000,6125000,6e+06,13750000,1.5e+07,"2020-2023 (FA: 2024)","RB",16,"LAC",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,132,557,3,1,1,32,-10.2979037558583,0,92,108,993,8,2,1,136,940,42,41.4780520874219,0,7.30147058823529,0.181319251700127,0.0220134941158691,0.287388323431299,0,217,309
"48","Christian McCaffrey","2020",23,4,64063500,16015875,21500000,30062500,38162500,"2020-2025 (FA: 2026)","RB",16,"CAR",0,2,0,0,0,0,0,0,0,16,0,0,-1.91521489614388,0,0,NA,287,1387,15,1,0,57,-15.3049661848516,1,116,142,1005,4,0,0,107,991,58,50.4830065667526,0,9.39252336448598,0.234139393717721,0.0210841887438144,0.365968022697252,0,355.2,471.2
"49","Derrick Henry","2020",26,4,5e+07,12500000,1.2e+07,25500000,25500000,"2020-2023 (FA: 2024)","RB",18,"TEN",1,1,3,1,0,0,0,0,0,3,0,1,2.30900342355017,0,1,NA,386,1986,18,5,3,94,4.75415983362473,0,23,29,227,2,0,0,-63,275,5,6.43622462917119,0,-3.6031746031746,0.0731674742564452,-0.0187507847775309,0.0966256620403962,0,339.42,362.42
