"","name","start_year","age","years","value","aav","sign_bonus","gtd","prac_gtd","length","position.y","games","recent_team","completions","attempts","passing_yards","passing_tds","interceptions","sacks","sack_yards","sack_fumbles","sack_fumbles_lost","passing_air_yards","passing_yards_after_catch","passing_first_downs","passing_epa","passing_2pt_conversions","pacr","dakota","carries","rushing_yards","rushing_tds","rushing_fumbles","rushing_fumbles_lost","rushing_first_downs","rushing_epa","rushing_2pt_conversions","receptions","targets","receiving_yards","receiving_tds","receiving_fumbles","receiving_fumbles_lost","receiving_air_yards","receiving_yards_after_catch","receiving_first_downs","receiving_epa","receiving_2pt_conversions","racr","target_share","air_yards_share","wopr","special_teams_tds","fantasy_points","fantasy_points_ppr"
"37","Parris Campbell","2023",25,1,4700000,4700000,1500000,2900000,2900000,"2023-2023 (FA: 2024)","WR",17,"IND",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,5,58,0,0,0,2,2.29286615113961,0,63,91,623,3,1,0,582,276,32,-7.04746110652523,0,1.07044673539519,0.157705894638425,0.163911336378517,0.3512967774226,0,86.1,149.1
"38","Penny Hart","2023",26,1,1010000,1010000,NA,NA,NA,"2023-2023 (FA: 2024)","WR",3,"SEA",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,0,3,4,20,0,0,0,31,12,1,-0.878406166622881,0,0.645161290322581,0.0332496985256934,0.0373814408187876,0.0760415563616914,0,2,5
"39","Randall Cobb","2023",32,1,3e+06,3e+06,250000,250000,250000,"2023-2023 (FA: 2024)","WR",13,"GB",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,0,34,50,417,1,1,0,475,185,19,22.5648378137983,0,0.877894736842105,0.119263753256371,0.151531363547641,0.284967584367904,0,47.7,81.7
"40","Richie James","2023",27,1,1232500,1232500,152500,552500,552500,"2023-2023 (FA: 2024)","WR",16,"NYG",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,2,6,0,0,0,0,-0.553319531492889,0,68,86,651,4,0,0,586,220,34,25.4195455148355,0,1.11092150170648,0.189461439428735,0.208783318605766,0.430340482167139,0,89.7,157.7
"41","River Cracraft","2023",28,1,1080000,1080000,NA,NA,NA,"2023-2023 (FA: 2024)","WR",8,"MIA",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,0,9,14,102,2,0,0,122,26,8,1.4560171206831,0,0.836065573770492,0.0502231861311776,0.0464499565118938,0.107849748755092,0,22.2,31.2
"42","Robert Woods","2023",30,2,15250000,7625000,6500000,1e+07,1e+07,"2023-2024 (FA: 2025)","WR",17,"TEN",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,0,53,91,527,2,0,0,710,156,31,8.94663831669897,0,0.742253521126761,0.212380469021299,0.220645383500645,0.4730224719824,0,64.7,117.7
"43","Sterling Shepard","2023",30,1,1317500,1317500,NA,NA,NA,"2023-2023 (FA: 2024)","WR",3,"NYG",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,0,13,24,154,1,0,0,225,55,4,-3.12675365246259,0,0.684444444444444,0.271825396825397,0.412412284842191,0.696426694627629,0,21.4,34.4
"44","Trent Sherfield","2023",27,1,1770000,1770000,3e+05,750000,750000,"2023-2023 (FA: 2024)","WR",17,"MIA",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,0,30,53,417,2,0,0,599,145,18,3.41877324855566,0,0.696160267111853,0.0925199735017373,0.104537308892148,0.211956076477109,0,53.7,83.7
"45","Trent Taylor","2023",29,1,1080000,1080000,NA,NA,NA,"2023-2023 (FA: 2024)","WR",6,"CIN",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,4,15,0,0,0,0,-2.15683698910289,0,6,10,62,0,0,0,45,43,1,-0.339048850492868,0,1.37777777777778,0.0607322027910263,0.0395702138013996,0.118797453847519,0,7.7,13.7
"46","Ty Montgomery","2023",29,1,1165000,1165000,NA,NA,NA,"2023-2023 (FA: 2024)","WR",1,"NE",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,2,-2,0,0,0,0,-3.09117927588522,0,3,4,15,1,0,0,13,7,1,2.18084644415649,0,1.15384615384615,0.133333333333333,0.046594982078853,0.232616487455197,0,7.3,10.3
