"","name","start_year","age","years","value","aav","sign_bonus","gtd","prac_gtd","length","position.y","games","recent_team","completions","attempts","passing_yards","passing_tds","interceptions","sacks","sack_yards","sack_fumbles","sack_fumbles_lost","passing_air_yards","passing_yards_after_catch","passing_first_downs","passing_epa","passing_2pt_conversions","pacr","dakota","carries","rushing_yards","rushing_tds","rushing_fumbles","rushing_fumbles_lost","rushing_first_downs","rushing_epa","rushing_2pt_conversions","receptions","targets","receiving_yards","receiving_tds","receiving_fumbles","receiving_fumbles_lost","receiving_air_yards","receiving_yards_after_catch","receiving_first_downs","receiving_epa","receiving_2pt_conversions","racr","target_share","air_yards_share","wopr","special_teams_tds","fantasy_points","fantasy_points_ppr"
"36","Teddy Bridgewater","2023",30,1,3e+06,3e+06,5e+05,2550000,2550000,"2023-2023 (FA: 2024)","QB",5,"MIA",49,79,683,4,4,7,45,0,0,704,307,32,0.383182439977755,0,0.970170454545455,0.0752684892970845,3,27,0,0,0,2,3.37023995979689,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,38.02,38.02
"37","Tim Boyle","2023",28,1,1155000,1155000,NA,75000,75000,"2023-2023 (FA: 2024)","QB",1,"CHI",2,8,33,0,2,0,0,0,0,101,32,2,-4.50947897683363,0,0.326732673267327,-0.161551042543429,2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,-2.88,-2.88
"38","Tyler Huntley","2023",25,1,2627000,2627000,NA,NA,NA,"2023-2023 (FA: 2024)","QB",6,"BAL",92,141,884,4,4,9,51,0,0,1021,376,42,-3.7453263161318,0,0.865817825661117,0.0529611240794281,52,191,1,4,1,15,-12.3403288545443,1,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,68.46,68.46
"39","Chase Daniel","2022",35,1,2e+06,2e+06,2e+05,1120000,1120000,"2022-2022 (FA: 2023)","QB",1,"LAC",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,-0.2,-0.2
"40","Joe Flacco","2022",36,1,3500000,3500000,1730000,2850000,2850000,"2022-2022 (FA: 2023)","QB",2,"NYJ",27,42,338,3,0,2,13,1,1,336,175,14,6.29411907645483,0,1.00595238095238,0.140892929856642,2,3,0,0,0,1,0.167107119690627,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,23.82,23.82
"41","Kirk Cousins","2022",33,1,3.5e+07,3.5e+07,2.5e+07,3.5e+07,3.5e+07,"2022-2023 (FA: 2024)","QB",16,"MIN",372,561,4221,33,7,28,197,10,2,4575,1805,192,71.7495833180453,0,0.922622950819672,0.107745813975242,29,115,1,2,0,8,-4.47916272084251,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,300.34,300.34
"42","Kyler Murray","2022",24,5,230500000,46100000,29035000,103300000,159797000,"2022-2028 (FA: 2029)","QB",15,"ARI",352,515,3924,24,12,33,301,3,0,4090,1895,179,44.358747413677,1,0.959413202933985,0.101664866351848,90,429,5,10,0,26,6.74877292105622,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,303.86,303.86
"43","Logan Woodside","2022",26,2,1905000,952500,NA,NA,NA,"2022-2023 (FA: 2024)","QB",4,"TEN",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,6,-6,0,0,0,0,-4.56186694477219,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,-0.6,-0.6
"44","Matthew Stafford","2022",34,4,1.6e+08,4e+07,6e+07,6.3e+07,1.3e+08,"2022-2026 (FA: 2027)","QB",21,"LA",502,741,6074,50,20,37,285,4,2,6296,2667,291,165.582357056081,2,0.964739517153748,0.143656613401486,50,85,2,1,0,13,-12.5087707189385,0,0,1,0,0,0,0,5,0,0,-1.51570494625299,0,0,0.025,0.0149253731343284,0.0479477611940299,0,423.46,423.46
"45","Russell Wilson","2022",33,5,242588236,48517647,5e+07,1.24e+08,1.61e+08,"2022-2028 (FA: 2029)","QB",14,"SEA",259,400,3113,25,6,33,266,4,1,3955,1383,135,16.5060313732689,1,0.787104930467762,0.0925111281795813,43,183,2,2,0,17,-2.42791386947652,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,242.82,242.82
"46","Tyrod Taylor","2022",29,2,1.1e+07,5500000,4200000,8170000,8170000,"2022-2023 (FA: 2024)","QB",6,"HOU",91,150,966,5,5,13,119,0,0,1107,491,44,-14.8756148792061,0,0.872628726287263,0.0327839638097227,19,151,3,3,0,7,13.619090607911,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,81.74,81.74
"47","Patrick Mahomes","2020",24,10,4.5e+08,4.5e+07,1e+07,63081905,141481905,"2020-2031 (FA: 2032)","QB",17,"KC",391,596,4932,36,7,23,147,4,2,5156,2333,219,174.240863385658,1,0.95655546935609,0.180054188501415,67,353,4,2,0,26,23.8250326270936,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,384.58,384.58
"48","Ryan Tannehill","2020",31,4,1.18e+08,29500000,2e+07,6.2e+07,9.1e+07,"2020-2023 (FA: 2024)","QB",15,"TEN",237,346,3111,27,7,36,252,6,3,3307,1393,147,66.0285170261732,0,0.940731781070457,0.171552670669371,56,220,5,2,0,19,18.6370056667656,1,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,266.44,266.44
"49","Jared Goff","2019",24,4,1.34e+08,33500000,2.5e+07,57042682,110042682,"2019-2024 (FA: 2025)","QB",19,"LA",423,667,5400,33,14,38,262,9,5,5768,2394,268,108.232358285229,3,0.93619972260749,0.10892981787074,52,130,2,4,0,12,-11.4466464491574,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,341,341
"50","Josh Allen","2019",21,4,22742638,5685660,14560100,22742638,22742638,"2019-2023 (FA: 2024)","QB",12,"BUF",169,320,2074,10,12,28,213,3,1,3504,948,89,-40.8345761335793,1,0.59189497716895,0.0124709503970412,89,631,8,5,1,41,33.8201048815617,0,0,1,0,0,0,0,13,0,0,-1.47405634936014,0,0,0.0285714285714286,0.0436241610738255,0.0733940556088207,0,208.06,208.06
